Age Group,Licensed Drivers,Accidents,Accidents per Driver (10^-4)
15-19,8591000.0,13199,15.36375276452101
20-24,17630000.0,9898,5.614293817356778
25-29,19266000.0,7978,4.140973736115437
30-34,19120000.0,6464,3.3807531380753137
35-39,18088000.0,5714,3.159000442282176
40-44,18107000.0,5250,2.899431159220191
45-49,18988000.0,5289,2.7854434379608177
50-54,20488000.0,5853,2.856794221007419
55-59,20068000.0,5257,2.6195933824995015
60-64,17647000.0,3994,2.2632742109140365
65-69,14788000.0,3256,2.201785231268596
70-74,10232000.0,2325,2.2722830336200155
75-79,6834000.0,1724,2.5226807140766754
80-84,4521000.0,1359,3.005972130059721
85+,3716000.0,1359,3.6571582346609257
