,Date,Weather
0,2015-06-12,Clear
1,2015-06-13,Clouds
2,2015-06-14,Rain
3,2015-06-15,Clouds
4,2015-06-19,Clouds
5,2015-06-20,Clouds
6,2015-06-22,Clouds
7,2015-06-24,Clear
8,2015-06-25,Clear
9,2015-06-26,Rain
10,2015-06-27,Clear
11,2015-06-28,Rain
12,2015-06-29,Clear
13,2015-06-30,Clear
14,2015-07-01,Rain
15,2015-07-02,Rain
16,2015-07-03,Mist
17,2015-07-04,Mist
18,2015-07-05,Mist
19,2015-07-06,Mist
20,2015-07-07,Mist
21,2015-07-08,Haze
22,2015-07-09,Mist
23,2015-07-10,Mist
24,2015-07-11,Clear
25,2015-07-12,Clouds
26,2015-07-13,Clear
27,2015-07-14,Clear
28,2015-07-15,Clear
29,2015-07-16,Clear
30,2015-07-17,Clear
31,2015-07-18,Clear
32,2015-07-19,Clear
33,2015-07-20,Clouds
34,2015-07-21,Mist
35,2015-07-22,Clear
36,2015-07-23,Mist
37,2015-07-24,Clear
38,2015-07-25,Clear
39,2015-07-26,Clouds
40,2015-07-27,Clouds
41,2015-07-28,Clear
42,2015-07-29,Clear
43,2015-07-30,Clear
44,2015-07-31,Clear
45,2015-08-01,Clear
46,2015-08-02,Clear
47,2015-08-03,Clear
48,2015-08-04,Clear
49,2015-08-05,Clear
50,2015-08-06,Clear
51,2015-08-07,Clear
52,2015-08-08,Clear
53,2015-08-09,Clear
54,2015-08-10,Clear
55,2015-08-11,Clear
56,2015-08-12,Mist
57,2015-08-13,Thunderstorm
58,2015-08-14,Mist
59,2015-08-15,Clear
60,2015-08-16,Mist
61,2015-08-17,Rain
62,2015-08-18,Clear
63,2015-08-19,Clear
64,2015-08-20,Rain
65,2015-08-21,Rain
66,2015-08-22,Rain
67,2015-08-23,Clear
68,2015-08-24,Clouds
69,2015-08-25,Clear
70,2015-08-26,Clouds
71,2015-08-27,Clear
72,2015-08-28,Clear
73,2015-08-29,Clear
74,2015-08-30,Clear
75,2015-08-31,Clear
76,2015-09-01,Rain
77,2015-09-02,Rain
78,2015-09-03,Mist
79,2015-09-04,Rain
80,2015-09-05,Mist
81,2015-09-06,Clear
82,2015-09-07,Clear
83,2015-09-08,Mist
84,2015-09-09,Mist
85,2015-09-10,Rain
86,2015-09-11,Rain
87,2015-09-12,Clear
88,2015-09-13,Clear
89,2015-09-14,Clear
90,2015-09-15,Clouds
91,2015-09-16,Clouds
92,2015-09-17,Clouds
93,2015-09-18,Clouds
94,2015-09-19,Clear
95,2015-09-20,Clear
96,2015-09-21,Clear
97,2015-09-22,Mist
98,2015-09-23,Mist
99,2015-09-24,Clear
100,2015-09-25,Clouds
101,2015-09-26,Clouds
102,2015-09-27,Rain
103,2015-09-28,Rain
104,2015-09-29,Rain
105,2015-09-30,Rain
106,2015-10-01,Clouds
107,2015-10-02,Clear
108,2015-10-03,Clear
109,2015-10-04,Clear
110,2015-10-05,Clear
111,2015-10-06,Clear
112,2015-10-07,Clear
113,2015-10-08,Clouds
114,2015-10-09,Clouds
115,2015-10-10,Clouds
116,2015-10-11,Clear
117,2015-10-12,Clouds
118,2015-10-13,Clear
119,2015-10-14,Clear
120,2015-10-15,Clear
121,2015-10-16,Clear
122,2015-10-17,Clear
123,2015-10-18,Clear
124,2015-10-19,Clear
125,2015-10-20,Rain
126,2015-10-21,Clouds
127,2015-10-22,Rain
128,2015-10-23,Rain
129,2015-10-27,Clear
130,2015-10-28,Clear
131,2015-10-29,Clear
132,2015-10-30,Mist
133,2015-10-31,Thunderstorm
134,2015-11-01,Rain
135,2015-11-02,Mist
136,2015-11-03,Fog
137,2015-11-04,Mist
138,2015-11-05,Mist
139,2015-11-06,Clouds
140,2015-11-07,Mist
141,2015-11-08,Clear
142,2015-11-09,Clear
143,2015-11-10,Mist
144,2015-11-11,Clouds
145,2015-11-12,Clouds
146,2015-11-13,Clouds
147,2015-11-14,Clear
148,2015-11-15,Clear
149,2015-11-16,Mist
150,2015-11-17,Rain
151,2015-11-18,Clouds
152,2015-11-19,Clear
153,2015-11-20,Clear
154,2015-11-21,Clouds
155,2015-11-22,Clear
156,2015-11-23,Clear
157,2015-11-24,Clear
158,2015-11-25,Mist
159,2015-11-26,Mist
160,2015-11-27,Mist
161,2015-11-28,Rain
162,2015-11-29,Mist
163,2015-11-30,Mist
164,2015-12-01,Clouds
165,2015-12-02,Clouds
166,2015-12-03,Clear
167,2015-12-04,Clear
168,2015-12-05,Clear
169,2015-12-06,Mist
170,2015-12-07,Mist
171,2015-12-08,Mist
172,2015-12-09,Fog
173,2015-12-10,Mist
174,2015-12-11,Clear
175,2015-12-12,Clouds
176,2015-12-13,Rain
177,2015-12-14,Clear
178,2015-12-15,Fog
179,2015-12-16,Clear
180,2015-12-17,Clear
181,2015-12-18,Clear
182,2015-12-19,Clear
183,2015-12-20,Clouds
184,2015-12-21,Clouds
185,2015-12-22,Mist
186,2015-12-23,Mist
187,2015-12-24,Mist
188,2015-12-25,Mist
189,2015-12-26,Rain
190,2015-12-27,Rain
191,2015-12-28,Clouds
192,2015-12-29,Clouds
193,2015-12-30,Rain
